idUser,SalesYear,SalesMonth,Price,간편식사_도시락,간편식사_샌드위치,간편식사_주먹밥,과자류_껌/초,과자류_빵/디,과자류_스낵,식품_가공식,식품_식재료,식품_안주류,아이스크_아이스,음료_아이스,음료_유제품,음료_음료,즉석조리_베이커,즉석조리_즉석커,즉석조리_튀김류,VisitCount,Gender_남성,Gender_여성,AgeGroup_10대,AgeGroup_20대,AgeGroup_30대,AgeGroup_40대,AgeGroup_50대,AgeGroup_60대이상,TempAvg,RainfallAmount,HumidAvg
U100281,2022,12,184250,3,1,0,6,11,3,10,6,4,3,0,1,6,0,1,0,27,0,1,0,0,0,1,0,0,-2.8161290322580643,0.43870967741935485,58.91935483870968
U100282,2021,1,89750,0,0,1,0,2,2,5,7,3,1,0,0,3,1,0,0,12,1,0,0,1,0,0,0,0,-2.370967741935484,0.6096774193548387,57.45161290322581
U100282,2021,2,25800,1,0,0,1,2,1,1,0,1,1,0,0,2,0,0,0,3,1,0,0,1,0,0,0,0,2.732142857142857,0.25357142857142856,55.43928571428571
U100282,2021,3,18500,0,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,2,1,0,0,1,0,0,0,0,9.016129032258064,3.57741935483871,62.84516129032258
U100282,2021,4,48850,0,0,1,1,1,1,4,3,1,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,14.196666666666665,4.136666666666667,54.21
U100282,2021,5,58680,0,1,0,0,1,0,5,1,0,6,0,0,1,0,0,2,6,1,0,0,1,0,0,0,0,17.067741935483873,5.9064516129032265,68.14838709677419
U100282,2021,6,16350,0,0,1,0,2,0,1,1,0,1,0,2,1,0,0,0,4,1,0,0,1,0,0,0,0,22.816666666666666,3.4866666666666664,72.49666666666667
U100282,2021,7,25500,0,0,0,1,1,1,1,0,2,0,0,0,2,1,0,0,5,1,0,0,1,0,0,0,0,28.11935483870968,5.429032258064517,70.90967741935484
U100282,2021,8,87700,0,1,0,1,1,1,3,2,3,5,1,0,5,0,0,0,8,1,0,0,1,0,0,0,0,25.858064516129033,6.812903225806451,74.2258064516129
U100282,2021,9,71500,1,0,0,2,1,0,5,2,0,0,0,0,0,0,0,1,9,1,0,0,1,0,0,0,0,22.596666666666668,4.366666666666666,70.88333333333334
U100282,2021,10,47000,1,1,0,1,2,0,4,1,2,1,0,0,2,1,0,0,10,1,0,0,1,0,0,0,0,15.574193548387097,1.8387096774193548,69.72258064516129
U100282,2021,11,39920,0,0,0,1,1,0,4,1,1,2,0,0,2,0,0,0,8,1,0,0,1,0,0,0,0,8.18,2.08,67.84666666666666
